"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test editing personal details with debugging","40385","test_to_edit_bank_details","tests_pages","Thu Feb 26 04:19:22 UTC 2026","failed","Thu Feb 26 04:20:03 UTC 2026","TestAddBankDetailsPage","test_self_service_bank_details","",""
"Verify login with explicitly provided credentials.","2309","test_login_with_wrong_username","tests_pages","Thu Feb 26 04:19:18 UTC 2026","passed","Thu Feb 26 04:19:20 UTC 2026","TestUserLogins","test_user_logins","",""
"Test edit emergency contact with debugging","6653","test_to_edit_new_emergency_contact","tests_pages","Thu Feb 26 04:19:22 UTC 2026","passed","Thu Feb 26 04:19:28 UTC 2026","TestEmergencyContactPage","test_self_service_emergency_contact","",""
"Verify home page loads correctly with Page Object Model.","1678","test_go_to_home_page_with_pom","tests_pages","Thu Feb 26 04:19:39 UTC 2026","passed","Thu Feb 26 04:19:41 UTC 2026","TestUserLogins","test_user_logins","",""
"Test Add New Identity ","6156","test_to_add_identity","tests_pages","Thu Feb 26 04:19:33 UTC 2026","passed","Thu Feb 26 04:19:39 UTC 2026","TestIdentityPage","test_identity","",""
"Test Add New Bank details with debugging","6283","test_to_add_new_bank_details","tests_pages","Thu Feb 26 04:19:34 UTC 2026","passed","Thu Feb 26 04:19:40 UTC 2026","TestAddBankDetailsPage","test_self_service_bank_details","",""
"Test editing personal details with debugging","3520","test_to_edit_bvn","tests_pages","Thu Feb 26 04:19:22 UTC 2026","passed","Thu Feb 26 04:19:26 UTC 2026","TestBvnPage","test_bvn","",""
"Verify successful login with valid credentials using POM.","5477","test_login_with_valid_credentials_with_pom","tests_pages","Thu Feb 26 04:19:12 UTC 2026","passed","Thu Feb 26 04:19:18 UTC 2026","TestUserLogins","test_user_logins","",""
"Test editing personal details with debugging","4064","test_to_edit_identity","tests_pages","Thu Feb 26 04:19:22 UTC 2026","passed","Thu Feb 26 04:19:26 UTC 2026","TestIdentityPage","test_identity","",""
"Test editing personal details with debugging","1152","test_edit_personal_details","tests_pages","Thu Feb 26 04:19:35 UTC 2026","passed","Thu Feb 26 04:19:36 UTC 2026","TestEditSelfServicePage","test_self_service_personal_data","",""
"Verify login with explicitly provided credentials.","1395","test_login_with_no_username","tests_pages","Thu Feb 26 04:19:27 UTC 2026","passed","Thu Feb 26 04:19:28 UTC 2026","TestUserLogins","test_user_logins","",""
"Verify login with explicitly provided credentials.","5312","test_login_with_wrong_password","tests_pages","Thu Feb 26 04:19:20 UTC 2026","passed","Thu Feb 26 04:19:25 UTC 2026","TestUserLogins","test_user_logins","",""
"Verify login with explicitly provided credentials.","1398","test_login_with_no_password","tests_pages","Thu Feb 26 04:19:25 UTC 2026","passed","Thu Feb 26 04:19:27 UTC 2026","TestUserLogins","test_user_logins","",""
"Test Add New emergency contact with debugging","1111","test_to_add_new_emergency_contact","tests_pages","Thu Feb 26 04:20:19 UTC 2026","passed","Thu Feb 26 04:20:20 UTC 2026","TestEmergencyContactPage","test_self_service_emergency_contact","",""
